ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,method,direction,database,category,subcategory,pathway
hsa00220,Arginine biosynthesis,7/652,23/9423,0.30434782608695654,4.3985729527874105,4.449050960810516,6.769034656121422e-4,0.00947664851856999,0.0078378296018248,95/5009/1373/384/445/4843/162417,7,FDR,B_higher,KEGG,Metabolism,Amino acid metabolism,Arginine biosynthesis
hsa04614,Renin-angiotensin system,7/652,23/9423,0.30434782608695654,4.3985729527874105,4.449050960810516,6.769034656121422e-4,0.00947664851856999,0.0078378296018248,5550/7064/59272/290/3816/183/4311,7,FDR,B_higher,KEGG,Organismal Systems,Endocrine system,Renin-angiotensin system
hsa00565,Ether lipid metabolism,11/652,52/9423,0.2115384615384615,3.057249882019821,4.055706709939325,7.075487942749722e-4,0.00950945579505562,0.00786496343951969,50487/79888/79153/5321/255189/5337/5320/7941/151056/283748/84647,11,FDR,B_higher,KEGG,Metabolism,Lipid metabolism,Ether lipid metabolism
hsa04610,Complement and coagulation cascades,15/652,89/9423,0.16853932584269662,2.435806851864617,3.710461407689959,0.00106424720770546,0.0137533485303476,0.01137494991231757,2161/1604/3426/2152/7035/5329/717/624/2151/10544/728/623/733/722/5270,15,FDR,B_higher,KEGG,Organismal Systems,Immune system,Complement and coagulation cascades
hsa04750,Inflammatory mediator regulation of TRP channels,16/652,99/9423,0.16161616161616163,2.3357501394311213,3.642608405180527,0.00117079809629878,0.01456993186505152,0.01205031958763659,91860/818/805/3357/5606/5331/5321/255189/2150/113/624/1573/5029/623/8503/283748,16,FDR,B_higher,KEGG,Organismal Systems,Sensory system,Inflammatory mediator regulation of TRP channels
hsa05130,Pathogenic Escherichia coli infection,26/652,201/9423,0.12935323383084577,1.869471660104386,3.3971262961562654,0.00142942247307541,0.01715306967690497,0.0141867493568387,9075/1364/578/3606/1366/10095/355/10802/9076/4615/84790/7846/7280/834/9069/10383/79861/1365/137075/24146/29108/4640/10092/10381/3071/7124,26,FDR,B_higher,KEGG,Human Diseases,Infectious disease: bacterial,Pathogenic Escherichia coli infection
hsa04977,Vitamin digestion and absorption,7/652,26/9423,0.2692307692307692,3.891045304388862,4.024553919136393,0.00151383909160575,0.01753965292343218,0.01450647986148526,949/80704/2346/151056/337/5948/338,7,FDR,B_higher,KEGG,Organismal Systems,Digestive system,Vitamin digestion and absorption
hsa04974,Protein digestion and absorption,16/652,103/9423,0.1553398058252427,2.245041396152242,3.4638991556911054,0.0017971938246864,0.02012857083648769,0.01664769016551614,9056/5646/1308/10008/5645/59272/340024/4224/483/1803/7512/11136/4225/6564/4311/6519,16,FDR,B_higher,KEGG,Organismal Systems,Digestive system,Protein digestion and absorption
hsa00592,alpha-Linolenic acid metabolism,7/652,27/9423,0.25925925925925924,3.746932515337423,3.896988825399224,0.00192358248977461,0.02084915214723458,0.01724365967064515,50487/5321/255189/5320/151056/283748/84647,7,FDR,B_higher,KEGG,Metabolism,Lipid metabolism,alpha-Linolenic acid metabolism
hsa05133,Pertussis,13/652,78/9423,0.16666666666666666,2.4087423312883436,3.406120480884998,0.00248950115916685,0.02613976217125199,0.02161935217171217,91860/1072/805/4615/10392/834/3659/717/29108/4843/6374/722/7124,13,FDR,B_higher,KEGG,Human Diseases,Infectious disease: bacterial,Pertussis
hsa05152,Tuberculosis,23/652,181/9423,0.1270718232044199,1.8364996779988476,3.098081766738051,0.00330218325441638,0.03310388928171542,0.02737915654878719,3656/91860/818/3606/805/4615/7421/1594/317/1520/3717/6772/64127/64170/4843/7096/9103/2214/3123/7124/22925/3126/3125,23,FDR,B_higher,KEGG,Human Diseases,Infectious disease: bacterial,Tuberculosis
hsa04976,Bile secretion,14/652,90/9423,0.15555555555555556,2.2481595092024538,3.2437808375331314,0.00334979832017358,0.03310388928171542,0.02737915654878719,949/3949/6523/113/7364/64240/483/1080/64241/366/9429/9971/54576/1576,14,FDR,B_higher,KEGG,Organismal Systems,Digestive system,Bile secretion
hsa00590,Arachidonic acid metabolism,11/652,64/9423,0.171875,2.484015529141104,3.247764281675452,0.00409135969417762,0.0385028116537628,0.03184443069108201,50487/4051/8529/5321/255189/874/5320/1573/151056/283748/84647,11,FDR,B_higher,KEGG,Metabolism,Lipid metabolism,Arachidonic acid metabolism
