category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,hsa04371,Apelin signaling pathway,9/461,140/9423,0.06428571428571428,1.3140223117446543,0.8489847551907198,0.24655520551992138,0.6848855804143346,0.611075856209281,6262/10014/5563/2770/10891/107/22808/5567/6543,9
Environmental Information Processing,Signal transduction,hsa04152,AMPK signaling pathway,8/461,122/9423,0.06557377049180328,1.3403506276448207,0.858146018473083,0.24710718316729274,0.6848855804143346,0.611075856209281,3480/5523/3953/6517/8789/5563/8408/10891,8
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",8/461,122/9423,0.06557377049180328,1.3403506276448207,0.858146018473083,0.24710718316729274,0.6848855804143346,0.611075856209281,3483/2690/51738/1442/2770/107/5567/6752,8
Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,5/461,69/9423,0.07246376811594203,1.4811845704046025,0.9098233914708452,0.24786335291185443,0.6848855804143346,0.611075856209281,1558/216/8228/145226/131,5
Cellular Processes,Transport and catabolism,hsa04137,Mitophagy - animal,7/461,105/9423,0.06666666666666667,1.3626898047722344,0.8475946114743866,0.2539928624278446,0.6957195796936613,0.6207422816314371,23710/664/8408/338382/4286/22808/285973,7
Organismal Systems,Endocrine system,hsa04920,Adipocytokine signaling pathway,5/461,70/9423,0.07142857142857142,1.4600247908273938,0.8761416619323634,0.257183801285795,0.6983870465950468,0.6231222771624979,3953/6517/5563/10891/4852,5
Human Diseases,Cardiovascular disease,hsa05418,Fluid shear stress and atherosclerosis,9/461,142/9423,0.06338028169014084,1.2955149552412084,0.8047218489678091,0.25943818043521355,0.6984874088640365,0.6232118234476115,2940/2946/93/2941/5563/2953/653689/2947/1906,9
Cellular Processes,Cellular community - eukaryotes,hsa04540,Gap junction,6/461,90/9423,0.06666666666666667,1.3626898047722344,0.7840892729869096,0.2774701337263536,0.7407041705406897,0.6608789090538485,80310/1956/2770/51807/107/5567,6
Metabolism,Glycan biosynthesis and metabolism,hsa00520,Amino sugar and nucleotide sugar metabolism,3/461,38/9423,0.07894736842105263,1.613711610914488,0.8597229941635931,0.28411194461821687,0.7497343949564053,0.6689359513896749,27159/2592/5372,3
Human Diseases,Cancer: specific types,hsa05223,Non-small cell lung cancer,5/461,73/9423,0.0684931506849315,1.400023772026268,0.7781457829402086,0.2856131028405353,0.7497343949564053,0.6689359513896749,1956/4616/1021/5979/3800,5
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,10/461,166/9423,0.060240963855421686,1.2313462091315368,0.6820258609866253,0.29462045157632466,0.7669871260044816,0.6843293655578834,10242/4773/5533/2770/107/6543/482/147/154/3764,10
Environmental Information Processing,Signaling molecules and interaction,hsa04517,IgSF CAM signaling,17/461,300/9423,0.056666666666666664,1.1582863340563991,0.6319093095948799,0.2999066112365248,0.7743490372090599,0.6908978878356525,2243/2244/2266/64221/1000/4868/5802/5803/5063/253559/84063/51807/10580/90249/10451/9423/139065,17
Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,9/461,149/9423,0.06040268456375839,1.2346518365386017,0.6547915841583798,0.3060524525279653,0.7774719560186216,0.6936842514852866,80310/8527/1956/11069/4254/3815/107/22808/2147,9
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,9/461,149/9423,0.06040268456375839,1.2346518365386017,0.6547915841583798,0.3060524525279653,0.7774719560186216,0.6936842514852866,2893/2566/2892/2770/107/2562/5567/2561/2556,9
Metabolism,Glycan biosynthesis and metabolism,hsa00515,Mannose type O-glycan biosynthesis,2/461,23/9423,0.08695652173913043,1.7774214844855227,0.8465957277061418,0.31132369684806904,0.784535716057134,0.6999867541762901,27087/10690,2
Human Diseases,Cancer: specific types,hsa05214,Glioma,5/461,76/9423,0.06578947368421052,1.3447596757620732,0.6843947686672952,0.31459047921699274,0.7864761980424818,0.7017181115366505,3480/1956/4616/1021/816,5
Organismal Systems,Endocrine system,hsa04928,"Parathyroid hormone synthesis, secretion and action",7/461,115/9423,0.06086956521739131,1.244195039139866,0.5975539377722319,0.3319176947110974,0.8232604238897298,0.7345381225682802,1956/6446/9365/2770/107/5567/5745,7
Organismal Systems,Nervous system,hsa04730,Long-term depression,4/461,60/9423,0.06666666666666667,1.3626898047722344,0.6391797448916848,0.3377923229361653,0.8312857947257193,0.7416986038154287,3480/2781/2892/2770,4
Organismal Systems,Nervous system,hsa04721,Synaptic vesicle cycle,5/461,79/9423,0.06329113924050633,1.293692852631868,0.5945112143520003,0.34392317807862416,0.839812411587338,0.7493063120929634,6506/6530/155066/6571/9152,5
Organismal Systems,Aging,hsa04213,Longevity regulating pathway - multiple species,4/461,62/9423,0.06451612903225806,1.3187320691344202,0.5710577463399257,0.3603394100575811,0.8724770378364534,0.7784506904004448,3480/5563/107/5567,4
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,18/461,333/9423,0.05405405405405406,1.1048836254910008,0.4419441699236641,0.36501109705063783,0.8724770378364534,0.7784506904004448,8322/5523/1101/1280/1956/1021/3908/10297/11317/256076/7475/3913/1286/22798/5567/1287/155066/8325,18
Organismal Systems,Excretory system,hsa04962,Vasopressin-regulated water reabsorption,3/461,44/9423,0.06818181818181818,1.3936600276079667,0.5935932199532357,0.36560942537908525,0.8724770378364534,0.7784506904004448,361/5567/398,3
Environmental Information Processing,Signal transduction,hsa04150,mTOR signaling pathway,9/461,158/9423,0.056962025316455694,1.1643235673686811,0.47241668646310575,0.36842375266810573,0.8725825721086714,0.7785448513049801,3480/8322/5563/8408/9706/7475/6446/220441/8325,9
Organismal Systems,Endocrine system,hsa04910,Insulin signaling pathway,8/461,140/9423,0.05714285714285714,1.168019832661915,0.45425522698416965,0.3779956734522968,0.8815273142417938,0.7865256237345329,6517/8789/5563/5507/9882/10891/10580/5567,8
Metabolism,Amino acid metabolism,hsa00310,Lysine degradation,4/461,64/9423,0.0625,1.2775216919739696,0.5052330366068406,0.38286631788407954,0.8815273142417938,0.7865256237345329,56950/2122/38/5352,4
Metabolism,Lipid metabolism,hsa00590,Arachidonic acid metabolism,4/461,64/9423,0.0625,1.2775216919739696,0.5052330366068406,0.38286631788407954,0.8815273142417938,0.7865256237345329,1558/5319/8398/247,4
Metabolism,Lipid metabolism,hsa00592,alpha-Linolenic acid metabolism,2/461,27/9423,0.07407407407407407,1.5140997830802603,0.6067046750907155,0.38352291658373217,0.8815273142417938,0.7865256237345329,5319/8398,2
Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,13/461,239/9423,0.05439330543933055,1.1118180415505678,0.3971133043220001,0.38746275432724264,0.8815273142417938,0.7865256237345329,3480/7423/80310/1956/5063/5319/4254/3815/8398/22808/26281/5567/51365,13
Metabolism,Metabolism of cofactors and vitamins,hsa00860,Porphyrin metabolism,3/461,46/9423,0.06521739130434782,1.3330661133641422,0.5135668109664427,0.3925618962573739,0.8815273142417938,0.7865256237345329,3163/210/9843,3
Organismal Systems,Endocrine system,hsa04927,Cortisol synthesis and secretion,4/461,65/9423,0.06153846153846154,1.2578675120974472,0.4731309200238822,0.3940995489605238,0.8815273142417938,0.7865256237345329,3776/8622/107/5567,4
Metabolism,Energy metabolism,hsa00920,Sulfur metabolism,1/461,10/9423,0.1,2.0440347071583513,0.7491528737329892,0.3945884168510887,0.8815273142417938,0.7865256237345329,9061,1
Human Diseases,Endocrine and metabolic disease,hsa04930,Type II diabetes mellitus,3/461,47/9423,0.06382978723404255,1.3047030045691603,0.4749374423713105,0.40593167383130513,0.8992701881226642,0.8023563583249836,6517/6833/3767,3
Environmental Information Processing,Signal transduction,hsa04012,ErbB signaling pathway,5/461,86/9423,0.05813953488372093,1.1883922716036928,0.39804133291167465,0.41273318717604657,0.8992701881226642,0.8023563583249836,2066/1956/5063/145957/816,5
Organismal Systems,Nervous system,hsa04720,Long-term potentiation,4/461,67/9423,0.05970149253731343,1.2203192281542397,0.4104537606358703,0.41646312151791665,0.8992701881226642,0.8023563583249836,5533/107/5567/816,4
Human Diseases,Cancer: specific types,hsa05215,Prostate cancer,6/461,106/9423,0.05660377358490566,1.1570007776368028,0.36866866919888314,0.4175356869642649,0.8992701881226642,0.8023563583249836,3480/2348/80310/1956/367/2352,6
Environmental Information Processing,Signal transduction,hsa04392,Hippo signaling pathway - multiple species,2/461,29/9423,0.06896551724137931,1.40967910838507,0.5011146293129606,0.4184199374328834,0.8992701881226642,0.8023563583249836,126374/79981,2
Organismal Systems,Immune system,hsa04611,Platelet activation,7/461,126/9423,0.05555555555555555,1.1355748373101953,0.3474661417451398,0.4208264971511869,0.8992701881226642,0.8023563583249836,2243/2244/2266/2770/107/5567/2147,7
Human Diseases,Cancer: specific types,hsa05210,Colorectal cancer,5/461,87/9423,0.05747126436781609,1.1747325903208916,0.37134079495333433,0.42251424711795016,0.8992701881226642,0.8023563583249836,1956/4616/10297/10018/7043,5
Metabolism,Carbohydrate metabolism,hsa00053,Ascorbate and aldarate metabolism,2/461,31/9423,0.06451612903225806,1.3187320691344202,0.4031318484699438,0.4522871229388411,0.9391357787947464,0.8379256572705007,9104/9365,2
Metabolism,Carbohydrate metabolism,hsa00630,Glyoxylate and dicarboxylate metabolism,2/461,31/9423,0.06451612903225806,1.3187320691344202,0.4031318484699438,0.4522871229388411,0.9391357787947464,0.8379256572705007,2752/38,2
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,6/461,110/9423,0.05454545454545454,1.1149280220863735,0.27497740965928,0.4526590262687896,0.9391357787947464,0.8379256572705007,3480/1956/3945/7018/1906/816,6
Human Diseases,Cancer: specific types,hsa05226,Gastric cancer,8/461,150/9423,0.05333333333333334,1.0901518438177875,0.25242342548615654,0.4531702805612745,0.9391357787947464,0.8379256572705007,8322/1956/4616/10297/7475/26281/7043/8325,8
Human Diseases,Infectious disease: bacterial,hsa05110,Vibrio cholerae infection,3/461,51/9423,0.058823529411764705,1.2023733571519712,0.3286561982061969,0.45841862269530476,0.9394965788514812,0.838247574113101,3784/5567/155066,3
Cellular Processes,Cell motility,hsa04810,Regulation of actin cytoskeleton,12/461,232/9423,0.05172413793103448,1.0572593312888023,0.2002757763885604,0.4639371423969868,0.9394965788514812,0.838247574113101,26999/80310/1956/1131/727/10297/5063/22808/1129/26281/2147/10451,12
Metabolism,Carbohydrate metabolism,hsa00640,Propanoate metabolism,2/461,32/9423,0.0625,1.2775216919739696,0.3566445126737396,0.468795219342624,0.9394965788514812,0.838247574113101,4329/3945,2
Metabolism,Lipid metabolism,hsa00565,Ether lipid metabolism,3/461,52/9423,0.057692307692307696,1.1792507925913565,0.2939607389289043,0.471239553836616,0.9394965788514812,0.838247574113101,255043/5319/8398,3
Organismal Systems,Endocrine system,hsa04913,Ovarian steroidogenesis,3/461,52/9423,0.057692307692307696,1.1792507925913565,0.2939607389289043,0.471239553836616,0.9394965788514812,0.838247574113101,3480/107/5567,3
Organismal Systems,Digestive system,hsa04979,Cholesterol metabolism,3/461,52/9423,0.057692307692307696,1.1792507925913565,0.2939607389289043,0.471239553836616,0.9394965788514812,0.838247574113101,27329/350/5360,3
Cellular Processes,Cellular community - eukaryotes,hsa04520,Adherens junction,5/461,93/9423,0.053763440860215055,1.0989433909453503,0.2174738212178983,0.48040478365258144,0.9457969178160197,0.8438689291792055,3480/10810/5797/1956/10580,5
Organismal Systems,Endocrine system,hsa04912,GnRH signaling pathway,5/461,93/9423,0.053763440860215055,1.0989433909453503,0.2174738212178983,0.48040478365258144,0.9457969178160197,0.8438689291792055,1956/2797/107/5567/816,5
Organismal Systems,Immune system,hsa04670,Leukocyte transendothelial migration,6/461,116/9423,0.05172413793103448,1.0572593312888023,0.14073105787193158,0.5043424444686944,0.974215326370949,0.869224702225709,11069/149461/644672/2770/10451/100132463,6
