category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,24/652,362/9423,0.06629834254143646,0.9581737450428769,-0.22125138235359298,0.618450099345179,0.9620334878702785,0.7956667944791778,3918/374/1969/118788/672/2065/4602/1026/3561/84699/9134/3673/894/3717/3696/5106/10319/2069/1944/8503/7058/6696/3566/5105,24
Metabolism,Carbohydrate metabolism,hsa00020,Citrate cycle (TCA cycle),2/652,30/9423,0.06666666666666667,0.9634969325153375,-0.05459572277261177,0.6245860938463916,0.9648714222593631,0.7980139582596236,5106/5105,2
Metabolism,Metabolism of cofactors and vitamins,hsa00860,Porphyrin metabolism,3/652,46/9423,0.06521739130434782,0.9425513470258735,-0.10648724718595427,0.6260177680135153,0.9648714222593631,0.7980139582596236,3162/7364/54576,3
Metabolism,Carbohydrate metabolism,hsa00562,Inositol phosphate metabolism,5/652,78/9423,0.0641025641025641,0.9264393581878243,-0.17785822367838836,0.6351724240064864,0.9745111162839244,0.8059866375280579,3628/3631/3705/5331/113026,5
Metabolism,Carbohydrate metabolism,hsa00053,Ascorbate and aldarate metabolism,2/652,31/9423,0.06451612903225806,0.9324163863051652,-0.10275761294227921,0.642568125004863,0.9813767727346999,0.8116650000061428,7364/54576,2
Organismal Systems,Immune system,hsa04611,Platelet activation,8/652,126/9423,0.06349206349206349,0.9176161262050831,-0.25382059543030655,0.6512060907484033,0.9890706597183336,0.8180283651805769,4067/5331/5321/255189/113/3673/8503/283748,8
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,10/652,157/9423,0.06369426751592357,0.9205384705560548,-0.2737356682889436,0.65366127071703,0.9890706597183336,0.8180283651805769,818/23250/834/4035/3717/384/1847/5031/5029/89790,10
Human Diseases,Cardiovascular disease,hsa05418,Fluid shear stress and atherosclerosis,9/652,142/9423,0.06338028169014084,0.9160006048561306,-0.27497533322220746,0.6564367771344893,0.9890706597183336,0.8180283651805769,91860/805/3162/1535/4688/445/8503/7124/3383,9
Metabolism,Carbohydrate metabolism,hsa00640,Propanoate metabolism,2/652,32/9423,0.0625,0.9032783742331288,-0.14942162289482214,0.6598635764813252,0.9897953647219878,0.818627745258787,3939/3948,2
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,6/652,97/9423,0.061855670103092786,0.8939662260451585,-0.28618915541235107,0.670673593222457,0.9999999976978646,0.8270676672689106,2906/91860/818/805/5331/113,6
