category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,13/458,154/9423,0.08441558441558442,1.7367861396245674,2.083600767275475,0.036839417771836754,0.2698701534448506,0.24078640257234793,55799/100134444/1956/4773/6262/3768/5563/5533/2770/9254/107/5567/816,13
Human Diseases,Endocrine and metabolic disease,hsa04934,Cushing syndrome,13/458,155/9423,0.08387096774193549,1.7255810677560222,2.05867561762112,0.03851419729532803,0.27416808367839424,0.2446211473421262,3776/8322/8622/1956/1021/10297/7475/2770/107/5567/8325/51655/816,13
Metabolism,Metabolism of cofactors and vitamins,hsa00670,One carbon pool by folate,5/458,39/9423,0.1282051282051282,2.637722539469264,2.3163691491290486,0.03916686909691346,0.27416808367839424,0.2446211473421262,27232/875/160428/1757/10840,5
Metabolism,Amino acid metabolism,hsa00270,Cysteine and methionine metabolism,6/458,54/9423,0.1111111111111111,2.2860262008733625,2.142048102332808,0.04594370882062692,0.3094153837783289,0.27606986622828344,587/27232/3945/875/26227/1036,6
Metabolism,Metabolism of other amino acids,hsa00430,Taurine and hypotaurine metabolism,3/458,17/9423,0.17647058823529413,3.6307474955047523,2.4537498220167624,0.046687708537271194,0.3094153837783289,0.27606986622828344,2686/2327/1036,3
Metabolism,Amino acid metabolism,hsa00260,"Glycine, serine and threonine metabolism",5/458,41/9423,0.12195121951219512,2.5090531473000315,2.188657937278358,0.04714901086145964,0.3094153837783289,0.27606986622828344,27232/875/1757/5224/26227,5
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,10/458,115/9423,0.08695652173913043,1.7890639832921966,1.924252659202657,0.052817756967366014,0.3324519866301369,0.2966238276699969,100134444/1131/3768/2770/107/3784/1129/5567/60482/816,10
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,10/458,115/9423,0.08695652173913043,1.7890639832921966,1.924252659202657,0.052817756967366014,0.3324519866301369,0.2966238276699969,1558/3354/2770/2562/247/5567/6571/2561/260293/285242,10
Metabolism,Global and overview maps,hsa01200,Carbon metabolism,10/458,116/9423,0.08620689655172414,1.7736410179189883,1.8949282367115692,0.05541900372928107,0.3324519866301369,0.2966238276699969,4329/10873/84706/9104/8789/38/8277/3418/5224/26227,10
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,10/458,116/9423,0.08620689655172414,1.7736410179189883,1.8949282367115692,0.05541900372928107,0.3324519866301369,0.2966238276699969,2893/2752/6506/9455/2892/5533/2770/107/27165/5567,10
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,7/458,71/9423,0.09859154929577464,2.028445783873547,1.966017908031578,0.056159586794685114,0.3324519866301369,0.2966238276699969,1956/3945/3815/27165/3418/5979/5224,7
Human Diseases,Cardiovascular disease,hsa05412,Arrhythmogenic right ventricular cardiomyopathy,8/458,86/9423,0.09302325581395349,1.9138824007311872,1.9242655382008298,0.0569917691365949,0.3324519866301369,0.2966238276699969,1000/6641/55799/1756/3908/6262/9254/6543,8
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,11/458,133/9423,0.08270676691729323,1.7016285254621268,1.8418503583494015,0.05874610573508901,0.33645496921005524,0.3001954111247611,3480/23710/1956/4616/9455/664/6517/5563/6446/10018/7043,11
Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,9/458,103/9423,0.08737864077669903,1.79774875991012,1.839949638071761,0.06257853935459656,0.3506271593771007,0.31284027252693697,3908/3913/1286/338382/107/22798/5567/1287/7043,9
Human Diseases,Cancer: specific types,hsa05218,Melanoma,7/458,73/9423,0.0958904109589041,1.9728719267811208,1.8859945707368104,0.06344681931585631,0.3506271593771007,0.31284027252693697,3480/80310/1956/4616/1021/4286/26281,7
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,8/458,89/9423,0.0898876404494382,1.8493695108188999,1.8196460307401117,0.06705757888296492,0.36419202324368877,0.32494325883396796,2243/2244/2266/727/5104/3053/2147/5624,8
Organismal Systems,Endocrine system,hsa04918,Thyroid hormone synthesis,7/458,75/9423,0.09333333333333334,1.9202620087336244,1.8084725251391929,0.07128320557095046,0.38057982635337956,0.33956495784913066,53905/213/107/5567/482/2878/7276,7
Organismal Systems,Environmental adaptation,hsa04710,Circadian rhythm,4/458,34/9423,0.11764705882352941,2.420498330336501,1.875424816861321,0.08096697590368139,0.4250766234943273,0.3792663608119813,5563/6097/6095/1628,4
Metabolism,Amino acid metabolism,hsa00340,Histidine metabolism,3/458,22/9423,0.13636363636363635,2.8055776101627625,1.916326991830059,0.08860595407156048,0.4575553365990418,0.40824486172746594,3067/57571/218,3
Cellular Processes,Cellular community - eukaryotes,hsa04550,Signaling pathways regulating pluripotency of stem cells,11/458,144/9423,0.0763888888888889,1.5716430131004369,1.5623729110180593,0.09150451300443335,0.46220133641780825,0.41239016482390917,3480/8322/3977/4090/93/10297/7475/6657/4093/8325/3400,11
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,15/458,212/9423,0.07075471698113207,1.455724231688226,1.516861060794465,0.09244026728356165,0.46220133641780825,0.41239016482390917,5909/3480/7423/80310/1956/11069/51466/5587/2770/4254/3815/107/22808/26281/10451,15
Metabolism,Amino acid metabolism,hsa00220,Arginine biosynthesis,3/458,23/9423,0.13043478260869565,2.683595974938295,1.8271197496543456,0.09838894880358526,0.4794975440384757,0.4278223701195423,84706/2752/27165,3
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,8/458,97/9423,0.08247422680412371,1.6968441903389906,1.5592041685892473,0.09894393765873309,0.4794975440384757,0.4278223701195423,2893/2892/6262/2770/107/5567/51655/816,8
Metabolism,Xenobiotics biodegradation and metabolism,hsa00983,Drug metabolism - other enzymes,7/458,82/9423,0.08536585365853659,1.7563372031100226,1.5547295224823354,0.10302368930353163,0.4917039716759464,0.4387133180868094,2940/2946/4832/2941/2953/653689/2947,7
Human Diseases,Cancer: overview,hsa05207,Chemical carcinogenesis - receptor activation,15/458,217/9423,0.06912442396313365,1.4221821987000183,1.4220780759420233,0.10704708026972325,0.5028075653706,0.44862028388955794,54852/2940/2946/1956/2941/367/2770/107/26281/5567/2953/653689/2947/164091/154,15
Metabolism,Glycan biosynthesis and metabolism,hsa00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,3/458,24/9423,0.125,2.5717794759825328,1.7425512164719419,0.1085850198329326,0.5028075653706,0.44862028388955794,64132/9348/266722,3
Metabolism,Metabolism of cofactors and vitamins,hsa00760,Nicotinate and nicotinamide metabolism,4/458,38/9423,0.10526315789473684,2.165709032406343,1.6273986950475694,0.11113196880238366,0.5028075653706,0.44862028388955794,23409/23530/56953/25961,4
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,10/458,133/9423,0.07518796992481203,1.546935023147388,1.4357632733280763,0.11266389032439279,0.5028075653706,0.44862028388955794,1816/2893/5523/2892/5533/2770/5567/6571/3800/816,10
Organismal Systems,Excretory system,hsa04961,Endocrine and other factor-regulated calcium reabsorption,5/458,53/9423,0.09433962264150944,1.9409656422509682,1.5526409904545002,0.11361460228617554,0.5028075653706,0.44862028388955794,9365/5567/6543/5745/482,5
Organismal Systems,Endocrine system,hsa04924,Renin secretion,6/458,69/9423,0.08695652173913043,1.7890639832921966,1.4868502325619224,0.11778023158167361,0.5028075653706,0.44862028388955794,5153/5533/2770/5567/1906/154,6
Human Diseases,Substance dependence,hsa05031,Amphetamine addiction,6/458,69/9423,0.08695652173913043,1.7890639832921966,1.4868502325619224,0.11778023158167361,0.5028075653706,0.44862028388955794,2893/2892/5533/5567/6571/816,6
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,14/458,203/9423,0.06896551724137931,1.4189128143351903,1.363751828367996,0.11811987249976,0.5028075653706,0.44862028388955794,3480/7423/80310/1101/1280/1956/3908/5063/256076/3913/1286/22798/1287/10451,14
Environmental Information Processing,Signaling molecules and interaction,hsa04519,Cadherin signaling,25/458,404/9423,0.06188118811881188,1.2731581564269965,1.2683958255907724,0.12664109542458107,0.5318926007832405,0.47457084180158804,3480/1000/8322/26999/2566/1956/10297/9620/23500/7475/56141/51466/126374/222662/2562/22808/57216/8325/10451/166336/353288/2561/319101/3857/2556,25
Organismal Systems,Circulatory system,hsa04260,Cardiac muscle contraction,7/458,87/9423,0.08045977011494253,1.6553982833910557,1.3880772818670655,0.12968587661905037,0.5375138307236956,0.47958627503166834,55799/6262/9254/84679/7169/6543/482,7
Metabolism,Carbohydrate metabolism,hsa00650,Butanoate metabolism,3/458,27/9423,0.1111111111111111,2.2860262008733625,1.5124789422061857,0.14140344118837206,0.5784686230433402,0.5161273929910505,5019/38/348158,3
