category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Cancer: overview,hsa05204,Chemical carcinogenesis - DNA adducts,7/662,70/9423,0.1,1.423413897280967,0.9773775644828087,0.21943180390642888,0.5453702854016304,0.449349577257609,9/10/445329/7364/54576/1576/1543,7
Human Diseases,Infectious disease: bacterial,hsa05132,Salmonella infection,21/662,249/9423,0.08433734939759036,1.200469551923707,0.8812364044245151,0.22045543278978014,0.5453702854016304,0.449349577257609,302/578/6281/3606/10095/5606/4615/11035/10392/84790/7846/7280/834/10383/79861/29108/10092/10381/3071/7124/51176,21
Cellular Processes,Cellular community - eukaryotes,hsa04530,Tight junction,15/662,171/9423,0.08771929824561403,1.2486086818254094,0.9018207805886413,0.22074511551970752,0.5453702854016304,0.449349577257609,9075/1364/1366/10095/9076/84790/7846/91862/9069/79861/1365/137075/24146/1080/10092,15
Organismal Systems,Immune system,hsa04623,Cytosolic DNA-sensing pathway,8/662,83/9423,0.0963855421686747,1.3719652021985222,0.9356030428220532,0.22651696761218804,0.5555452636328115,0.4577330962889393,3606/11035/10622/834/9641/81030/29108/3627,8
Genetic Information Processing,Replication and repair,hsa03450,Non-homologous end-joining,2/662,13/9423,0.15384615384615385,2.189867534278411,1.1800466704229382,0.23098878840337966,0.5624074848082288,0.46338711937520105,7518/2237,2
Environmental Information Processing,Signal transduction,hsa04152,AMPK signaling pathway,11/662,122/9423,0.09016393442622951,1.2834059729582488,0.8660596331268077,0.23743804385200587,0.5739509549228343,0.47289818654356336,23216/6319/890/5214/5210/84699/5106/1080/3172/8503/5105,11
Metabolism,Carbohydrate metabolism,hsa00500,Starch and sucrose metabolism,4/662,36/9423,0.1111111111111111,1.581570996978852,0.9609798602337211,0.2445736683337573,0.5869768040010175,0.48363063738179074,55276/80201/57733/6476,4
Environmental Information Processing,Signal transduction,hsa04070,Phosphatidylinositol signaling system,9/662,98/9423,0.09183673469387756,1.3072168444417043,0.840344469304518,0.249856791325976,0.5954034176278576,0.4905736179076648,3628/91860/3631/3705/805/5331/1608/113026/8503,9
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,8/662,86/9423,0.09302325581395349,1.324105950959039,0.8299582685070418,0.2561358817350809,0.6032081259674826,0.49700418900202986,818/6804/885/5331/113/84699/483/2641,8
Metabolism,Glycan biosynthesis and metabolism,hsa00533,Glycosaminoglycan biosynthesis - keratan sulfate,2/662,14/9423,0.14285714285714285,2.033448424687095,1.0636648204533699,0.25777561284250705,0.6032081259674826,0.49700418900202986,4166/8702,2
Human Diseases,Substance dependence,hsa05030,Cocaine addiction,5/662,49/9423,0.10204081632653061,1.4524631604907825,0.8728557851417235,0.2594510856603927,0.6032081259674826,0.49700418900202986,2906/84152/1644/84699/2354,5
Metabolism,Amino acid metabolism,hsa00350,Tyrosine metabolism,4/662,37/9423,0.10810810810810811,1.5388258348983426,0.9026776760089271,0.2603130305514434,0.6032081259674826,0.49700418900202986,1644/130/127/259307,4
Metabolism,Amino acid metabolism,hsa00330,Arginine and proline metabolism,5/662,50/9423,0.1,1.423413897280967,0.8251530446708552,0.2731489057196939,0.6286166597384736,0.5179391651353965,79814/548596/384/4843/84735,5
