gene,logFC,P.Value,adj.P.Val
XLOC_l2_008270,0.502330337317702,1.44995369675766e-06,1.8518574202657154e-05
KIF15,0.81541136540881,1.45943267794437e-06,1.860729177415581e-05
CYBA,0.552541047927591,1.46871286086067e-06,1.870937735369457e-05
CXCL1,1.54976565038896,1.47437371045294e-06,1.8769473488279017e-05
MREG,0.593219015526067,1.54511646888982e-06,1.955550507654351e-05
HIST1H3I,0.564616520106024,1.63403825930427e-06,2.0556984745048753e-05
SYT8,0.68823908848191,1.64203206357343e-06,2.0631055273320205e-05
ACOX2,0.824992537853301,1.65098982293485e-06,2.0708189891766698e-05
ARHGAP11B,0.664184265788905,1.67102680698071e-06,2.0932709208673958e-05
SOCS6,0.641134216807697,1.69238474430351e-06,2.1155169232493216e-05
EPS8L1,0.656058109475892,1.71196260481859e-06,2.1354480912737146e-05
UGT2B7,0.911013694398342,1.71872614566984e-06,2.1411582860934826e-05
SPC24,0.690825798870378,1.74326411203722e-06,2.1689689129784008e-05
TRIM59,0.517877786979748,1.77646891452225e-06,2.2056133696653944e-05
SPAG1,0.696279954276517,1.81236330401004e-06,2.2407667485151384e-05
TYMS,0.766305317065333,1.85379308223179e-06,2.2880836245538783e-05
IL2RG,0.772741122511755,1.89489735451708e-06,2.330010186382759e-05
SQLE,0.647587741546978,1.89939819654939e-06,2.333591730777319e-05
ONECUT1,0.874300423693827,1.90463146699311e-06,2.3380663973263794e-05
ZNF462,0.570615163754309,1.91071454107413e-06,2.3435759154042792e-05
PLCD3,0.739808914278502,1.93065705537016e-06,2.364089564300761e-05
GRTP1,0.59868949184625,2.0508505311763e-06,2.4915417697482062e-05
PDIA4,0.519839497494143,2.05872036027044e-06,2.5000691713895737e-05
C15orf42,0.845144455470435,2.06861429554444e-06,2.5110465476026435e-05
LOC100507002,0.555024892967536,2.08722852562216e-06,2.5325958675055338e-05
HJURP,0.847014288457465,2.12916646636956e-06,2.579222758189144e-05
FFAR2,0.821733920119987,2.149718268105e-06,2.5998321178218e-05
BRCA2,0.539077197084036,2.17401580477854e-06,2.6248963217268584e-05
RAB30,0.600747354797952,2.22976797068125e-06,2.6811956269386486e-05
CLDN3,2.29768909779862,2.25615927192696e-06,2.7096039510988766e-05
PLEKHG1,0.673828344573899,2.30808751987849e-06,2.7618109134441805e-05
RNF186,1.35229625707071,2.33025050673128e-06,2.787195844192872e-05
ARHGAP8,0.664742386165473,2.36929704175961e-06,2.8247018849181102e-05
STK38,0.552492760902953,2.38170985331756e-06,2.8364352770127923e-05
LOC100288432,0.70433553480754,2.39922659604336e-06,2.8545939758915897e-05
OR7E5P,0.864368374048269,2.41389043162442e-06,2.86971731410107e-05
MOGAT3,0.659790020788585,2.41612764848932e-06,2.8712155007603774e-05
PIF1,0.787852693736381,2.42496142609087e-06,2.875973714285756e-05
HSPB1,0.606092348849927,2.47278726423895e-06,2.919165577412493e-05
HIGD1A,0.511282661121519,2.48708919349468e-06,2.9306566647322238e-05
LOC100128979,0.823253907048644,2.49587822627102e-06,2.9374797482440023e-05
GMPPB,0.579761781773234,2.50513430033475e-06,2.9460138782808175e-05
CBR3,0.77951666545189,2.51896671240177e-06,2.9599454338516735e-05
XLOC_013754,0.658084532189052,2.62971663138529e-06,3.072680119081982e-05
LOC100652740,0.719111683125202,2.63061902123665e-06,3.072680119081982e-05
GIMAP2,0.654164492801819,2.7020463911165e-06,3.146106946994124e-05
MDK,0.63868312719228,2.77246201121873e-06,3.2217126763818125e-05
LINC00336,0.607522026766974,2.81170523646476e-06,3.2621552897444284e-05
C12orf28,1.15015223775142,2.82292179812655e-06,3.272584844313335e-05
RCC1,0.501752170452871,2.95540537134506e-06,3.410029566277527e-05
LOC254057,1.03833507316299,2.98205427038237e-06,3.4380781050606935e-05
FOXD2,0.660977947855975,2.99671840982627e-06,3.453629828548016e-05
TK1,0.730785544509565,3.00696667680101e-06,3.4640821912123905e-05
RFC3,0.656033644956859,3.1132547448764e-06,3.57112921320951e-05
NINJ2,0.62585414298221,3.15432837551581e-06,3.61260336319792e-05
PPP1R14C,1.14193699211209,3.18954788613166e-06,3.64583560006368e-05
HIST1H3D,0.613157698708026,3.21044690396518e-06,3.665447304340664e-05
XLOC_l2_015202,0.916652140755936,3.21547819767033e-06,3.6685388010113716e-05
XLOC_l2_008289,0.613265369095829,3.31371104287511e-06,3.7628802213297425e-05
TIMP4,0.850019753829818,3.32476171270892e-06,3.771057399192965e-05
