,id,gastritis_subtypeB,gastritis_subtypeA,title,source_name_ch1,GSE,Group
93,GSM1479669,0.753966312,0.047077136,Bhutan_IM_181,gastric epithelium in Bhutan Hp-positive IM gastritis epithelium,GSE60427,IM
94,GSM1479670,0.332388755,0.361756406,DR_normal_1,gastric epithelium in DR Hp-negative normal epithelium,GSE60427,normal
95,GSM1479671,0.510480609,0.219976437,Dominican_normal_68,gastric epithelium in DR Hp-negative normal epithelium,GSE60427,normal
96,GSM1479672,0.599090579,0.136741984,Dominican_normal_70,gastric epithelium in DR Hp-negative normal epithelium,GSE60427,normal
97,GSM1479673,0.366446155,0.321985934,Dominican_normal_80,gastric epithelium in DR Hp-negative normal epithelium,GSE60427,normal
98,GSM1479674,0.336354549,0.458940617,Dominican_mild_148,gastric epithelium in DR Hp-positive mild gastritis epithelium,GSE60427,mild
99,GSM1479675,0.499303387,0.45745218,Dominican_mild_73,gastric epithelium in DR Hp-positive mild gastritis epithelium,GSE60427,mild
100,GSM1479676,0.454921676,0.166330097,Dominican_mild_135,gastric epithelium in DR Hp-positive mild gastritis epithelium,GSE60427,mild
101,GSM1479677,0.643325893,0.144868612,Dominican_mild_131,gastric epithelium in DR Hp-positive mild gastritis epithelium,GSE60427,mild
102,GSM1479678,0.685017968,0.36858644,Dominican_severe_128,gastric epithelium in DR Hp-positive severe gastritis epithelium,GSE60427,severe
103,GSM1479679,0.531120451,0.292565149,Dominican_severe_49,gastric epithelium in DR Hp-positive severe gastritis epithelium,GSE60427,severe
104,GSM1479680,0.56912669,0.08322939,Dominican_severe_132,gastric epithelium in DR Hp-positive severe gastritis epithelium,GSE60427,severe
105,GSM1479681,0.684441571,0.198806044,Dominican_severe_142,gastric epithelium in DR Hp-positive severe gastritis epithelium,GSE60427,severe
106,GSM1479682,0.801932647,-0.034843297,Dominican_IM_116,gastric epithelium in DR Hp-positive IM gastritis epithelium,GSE60427,IM
107,GSM1479683,0.718092334,0.097593509,Dominican_IM_138,gastric epithelium in DR Hp-positive IM gastritis epithelium,GSE60427,IM
108,GSM1479684,0.752661416,0.034329109,Dominican_IM_109,gastric epithelium in DR Hp-positive IM gastritis epithelium,GSE60427,IM
109,GSM1479685,0.74122624,0.065935389,Dominican_IM_123,gastric epithelium in DR Hp-positive IM gastritis epithelium,GSE60427,IM
110,GSM1159807,0.40813519,0.261674257,control rep1,"human stomach biopsy, control",GSE60662,normal
111,GSM1159808,0.461201389,0.342348029,control rep2,"human stomach biopsy, control",GSE60662,normal
112,GSM1159809,0.388375732,0.326912678,control rep3,"human stomach biopsy, control",GSE60662,normal
113,GSM1159810,0.471613411,0.258062007,control rep4,"human stomach biopsy, control",GSE60662,normal
114,GSM1159811,0.419117026,0.509432658,mild gastritis rep1,"human stomach biopsy, mild gastritis",GSE60662,mild
115,GSM1159812,0.407695144,0.567775385,mild gastritis rep2,"human stomach biopsy, mild gastritis",GSE60662,mild
116,GSM1159813,0.439172437,0.514624809,mild gastritis rep3,"human stomach biopsy, mild gastritis",GSE60662,mild
117,GSM1159814,0.48642673,0.564964374,mild gastritis rep4,"human stomach biopsy, mild gastritis",GSE60662,mild
118,GSM1159815,0.666963016,0.182621065,severe gastritis rep1,"human stomach biopsy, severe gastritis",GSE60662,severe
119,GSM1159816,0.575754884,0.336889356,severe gastritis rep2,"human stomach biopsy, severe gastritis",GSE60662,severe
120,GSM1159817,0.575597065,0.286233052,severe gastritis rep3,"human stomach biopsy, severe gastritis",GSE60662,severe
121,GSM1159818,0.567029614,0.230653563,severe gastritis rep4,"human stomach biopsy, severe gastritis",GSE60662,severe
122,GSM1159819,0.547762904,0.074371087,intestinal metaplasia rep1,"human stomach biopsy, intestinal metaplasia",GSE60662,IM
123,GSM1159820,0.756907845,0.011370987,intestinal metaplasia rep2,"human stomach biopsy, intestinal metaplasia",GSE60662,IM
124,GSM1159821,0.826956383,0.044689316,intestinal metaplasia rep3,"human stomach biopsy, intestinal metaplasia",GSE60662,IM
125,GSM1159822,0.755608123,-0.030436538,intestinal metaplasia rep4,"human stomach biopsy, intestinal metaplasia",GSE60662,IM
126,GSM3754774,0.386903798,0.561110051,B0294-1: Gastritis,Gastritis,GSE130823,Gastritis
127,GSM3754775,0.79247756,-0.076013948,B0294-2: GastricLowGradeIntraepithelialNeoplasia,GastricLowGradeIntraepithelialNeoplasia,GSE130823,LGN
128,GSM3754776,0.652005362,0.099605559,B0331-1: Gastritis,Gastritis,GSE130823,Gastritis
129,GSM3754777,0.793742615,-0.104262883,B0331-2: GastricLowGradeIntraepithelialNeoplasia,GastricLowGradeIntraepithelialNeoplasia,GSE130823,LGN
130,GSM3754778,0.790471006,-0.044863179,B0344-1: Gastritis,Gastritis,GSE130823,Gastritis
131,GSM3754779,0.716976665,0.026538915,B0344-2: GastricLowGradeIntraepithelialNeoplasia,GastricLowGradeIntraepithelialNeoplasia,GSE130823,LGN
132,GSM3754780,0.460129018,0.484297347,B0358-1: Gastritis,Gastritis,GSE130823,Gastritis
133,GSM3754781,0.72906318,-0.000519153,B0358-2: GastricLowGradeIntraepithelialNeoplasia,GastricLowGradeIntraepithelialNeoplasia,GSE130823,LGN
134,GSM3754782,0.626360672,0.202095936,B1047-1: Gastritis,Gastritis,GSE130823,Gastritis
135,GSM3754783,0.776959871,-0.105770274,B1047-2: GastricLowGradeIntraepithelialNeoplasia,GastricLowGradeIntraepithelialNeoplasia,GSE130823,LGN
136,GSM3754784,0.135176063,0.655208724,B1064-1: Gastritis,Gastritis,GSE130823,Gastritis
137,GSM3754785,0.75616277,-0.047917544,B1064-2: GastricLowGradeIntraepithelialNeoplasia,GastricLowGradeIntraepithelialNeoplasia,GSE130823,LGN
138,GSM3754786,0.130064183,0.666194508,B1115-1: Gastritis,Gastritis,GSE130823,Gastritis
139,GSM3754787,0.59033919,0.1594215,B1115-2: GastricLowGradeIntraepithelialNeoplasia,GastricLowGradeIntraepithelialNeoplasia,GSE130823,LGN
140,GSM3754788,0.458696109,0.232812555,B1170-1: Gastritis,Gastritis,GSE130823,Gastritis
141,GSM3754789,0.626941899,0.007387921,B1170-2: GastricLowGradeIntraepithelialNeoplasia,GastricLowGradeIntraepithelialNeoplasia,GSE130823,LGN
142,GSM3754790,0.330111221,0.585025077,B1364-1: Gastritis,Gastritis,GSE130823,Gastritis
143,GSM3754791,0.700975436,0.069930189,B1364-2: GastricLowGradeIntraepithelialNeoplasia,GastricLowGradeIntraepithelialNeoplasia,GSE130823,LGN
144,GSM3754792,0.203740233,0.640518851,B1366-1: Gastritis,Gastritis,GSE130823,Gastritis
