"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PLEKHH1",0.265304239020642,4.31444451828129,1.71938513835781,0.089880027277054,0.218640364342195,-5.3648044158353
"TLX2",0.181733505541899,2.77575181446922,1.71924975086515,0.0899048142829493,0.218682559356672,-5.36502828299707
"XLOC_l2_008755",0.1508576737955,2.16461622311225,1.71913132204233,0.0899265010692708,0.218711195773659,-5.36522409521398
"ALAS2",0.275657556186624,3.69457934217104,1.71910418146733,0.0899314716798996,0.218711195773659,-5.36526896815245
"XLOC_006676",-0.163961376504991,1.84287548893297,-1.71811506372909,0.0901127759617951,0.219125154469501,-5.36690388400151
"HCG18",0.0903464374788978,4.8163984070912,1.71805802644902,0.0901232399909715,0.219125154469501,-5.36699813471708
"POLK",-0.0869644292220251,5.81438094174201,-1.71805358168317,0.0901240554672949,0.219125154469501,-5.36700547930764
"B4GALNT3",-0.254760369489852,3.69505042137365,-1.71779899921374,0.090170773555288,0.219220606654765,-5.36742612562476
"CCDC115",-0.135982040949074,5.22644000908687,-1.71771854750701,0.0901855412776774,0.219238372658482,-5.36755904396595
"PDXDC2P",-0.221665928916918,5.54141076342651,-1.71759463227636,0.090208291056282,0.219275538259885,-5.36776375939793
"ZNF772",-0.141356042260381,1.6880558715679,-1.71746673554161,0.0902317767501337,0.219280749294477,-5.3679750382717
"LINC00202",-0.202572349157332,2.13359113066559,-1.7174644803573,0.0902321909149912,0.219280749294477,-5.36797876359119
"A1BG-AS1",0.189338328982085,3.51453273937509,1.71746105731755,0.09023281955962,0.219280749294477,-5.36798441807242
"ADAMTSL3",-0.238622956582924,2.69312586681776,-1.7171943508046,0.0902818115389183,0.219381666736045,-5.36842495572603
"FAM166A",0.121532078660087,3.28691975086636,1.71659231309246,0.0903924816895057,0.219632430912873,-5.36941915186887
"LOC648044",0.137440440901072,3.63772825602502,1.71649655063785,0.0904100955831923,0.21964402038261,-5.36957726300924
"XLOC_005127",-0.181445345118296,2.91035490317986,-1.7164840591442,0.0904123933913419,0.21964402038261,-5.36959788682298
"NBEAL2",0.162177923804501,3.9225596711488,1.71644448541983,0.0904196732880363,0.21964402038261,-5.36966322326387
"PLSCR2",-0.0641808469927609,1.69950704008633,-1.71635139098614,0.0904368006374999,0.219667468149008,-5.36981691723305
"C14orf64",0.157167157616476,1.70786423250387,1.71629085930227,0.0904479385796274,0.219676365204801,-5.36991684771717
"NAT8B",0.404757269871777,4.36984975613915,1.71621402579832,0.0904620777098611,0.219692549354384,-5.37004368586481
"LOC100132336",-0.20757981556372,1.80250753553404,-1.7161558099275,0.0904727919768587,0.21969999088883,-5.37013978620698
"C21orf2",-0.12188741978932,4.98621820792998,-1.71608926082427,0.09048504120015,0.21969999088883,-5.37024963903041
"LOC100506303",0.22384063244993,2.06506333350607,1.71607552619185,0.090487569406506,0.21969999088883,-5.37027231034552
"XLOC_012065",0.195924744381235,1.99452653978598,1.71603337015098,0.0904953296540819,0.219700681360938,-5.37034189492144
"TMEM105",0.188605977555343,2.91515916530114,1.71595009450042,0.0905106609656725,0.219713665198902,-5.3704793486748
"XLOC_008612",-0.174361618300772,1.64821688179099,-1.71592310462905,0.090515630344464,0.219713665198902,-5.37052389650444
