gene,logFC,P.Value
SNRPN,-0.888267149420657,1.58124728630194e-11
GBGT1,-0.727176747272258,1.59083877977519e-11
TMEM8B,-0.51892235662624,1.60192139577307e-11
CSH1,-1.29748096823284,1.6191836528489e-11
MLL3,-0.711354710848227,1.63587293662821e-11
SLC16A3,0.683970326680559,1.64793118740334e-11
S100A16,0.877665519710034,1.65427145163885e-11
FAM110B,-1.00584914446611,1.66543097862324e-11
SPAG9,0.396420865854108,1.67108931706198e-11
AVL9,0.536999423641893,1.69476237663514e-11
RNF180,-0.925709922418468,1.75760345695095e-11
TMEM62,0.502697876425618,1.76020224048181e-11
ASXL3,-1.38806172692626,1.77845731058955e-11
PPP1R14D,1.82736656010764,1.82660693571319e-11
XLOC_010500,-0.965793511119058,1.84905384929018e-11
KCNJ18,-1.45836910134646,1.89943302823541e-11
LOC100506948,-0.980414704271334,1.90088468421957e-11
BAHCC1,-0.75495949862954,1.90982634768834e-11
DPY19L1,0.745865504756064,1.93526145935997e-11
PACRG,-1.08379296633979,1.95054350746758e-11
AFAP1-AS1,2.24664497586492,2.02035414332485e-11
FAM102B,0.593208380610517,2.09786363402172e-11
GSTM2,-0.945819890618814,2.13204014739371e-11
DEPDC1B,1.22502739091176,2.1854106448228e-11
TNFRSF1B,0.746564949738527,2.24579947145581e-11
SERPINA4,-1.50071472658854,2.32807080627665e-11
DMD,-0.536860897593153,2.34070591063565e-11
NME9,-1.11626472486552,2.38823231841352e-11
XLOC_l2_010759,-1.58765105526043,2.39468013869233e-11
FMO6P,-2.19125361534913,2.4054228790651e-11
EFHA2,-1.31282796366812,2.47012456221686e-11
RAB26,-1.14243463790728,2.48508302941563e-11
TCEAL2,-1.57821226055656,2.50777048184242e-11
SNORA5B,-1.71270560576704,2.57041135266769e-11
NAT8L,-0.705021893814913,2.65862141782465e-11
OR51I1,-0.99467537931355,2.66252631858995e-11
HIP1R,-0.682638812911103,2.68133628984318e-11
IL32,1.17678351895519,2.70491950783496e-11
EGFR,-1.08769088485113,2.70906705975293e-11
LINC00261,-1.06043400508274,2.71437753219229e-11
MID2,-0.915831625105416,2.72044811235513e-11
SLC27A2,1.36950874061893,2.7326151894129e-11
TMEM42,-0.523358629719966,2.79978593458453e-11
XLOC_002921,0.891299883776235,2.81549675771943e-11
SAMD8,0.931953831669328,2.86096695514451e-11
CAMK2G,0.527021728639648,2.86804009693855e-11
TM6SF2,1.1884162096001,2.87943614671911e-11
PDSS1,1.03329832601671,2.88031125159331e-11
SDR16C5,1.06318621363695,2.90379854598904e-11
PCSK9,2.03468486921826,2.90723467607092e-11
LGALS4,1.0026556398826,2.9389775126819e-11
XPNPEP1,0.624387142385588,3.08708488086952e-11
